name,art_type,auction_record_title,auction_record_amount,year_created,url
Warhol,Pop Art,Marilyn Monroe,250000,1967,https://www.nationalgalleries.org/sites/default/files/product_images/Marilyn%20Monroe%2C%20hot%20pink%20by%20Andy%20Warhol%20large%20poster%20print_1.jpg
Koons,Contemporary Art,Rabbit,91075000,1986,https://www.christies.com/img/LotImages/2019/NYR/2019_NYR_16977_0015B_000(jeff_koons_rabbit102309).jpg
Rothko,Modern Art,No. 7,82468500,1951,https://sothebys-md.brightspotcdn.com/dims4/default/42a62aa/2147483647/strip/true/crop/1195x2000+0+0/resize/800x1339!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fb3%2F6f%2Fd9bb583a40c8be72d00c4be43422%2F299n10819-3x6zb-02.jpg
Klein,Post-War European Art,Barbara,15597500,1960,https://www.christies.com/img/LotImages/2019/NYR/2019_NYR_17649_0015B_000(yves_klein_barbara055007).jpg
Fontana,Spatialism,Concetto Spaziale,12788100,1965,https://sothebys-md.brightspotcdn.com/dims4/default/d592990/2147483647/strip/true/crop/2000x1590+0+0/resize/1024x814!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F6f%2F3c%2F1bf385734cfca99f0fedb09cfa80%2F1128n10819-3yz4s-02-ds.jpg
